PlayerID,Age,Gender,Location,GameGenre,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel,SessionIntensity,AchievementsPerHour,PurchaseRate,LevelProgressionRate,EngagementScore,AgeGroup,PlaytimeTier,IsPayer,SessionConsistency
9000,43,Male,OTHER,STRATEGY,16.271118760553215,0,Medium,6,108,79,25,Medium,648,1.447503218905503,0.0,4.574110171741389,2.6008447504221284,Middle_Age,Regular,0,15.428571428571429
9001,29,Female,USA,STRATEGY,5.525961380570566,0,Medium,5,144,11,10,Medium,720,1.5323412776809442,0.0,1.6855754054490386,1.7810384552228227,Adult,Casual,0,24.0
9002,22,Female,USA,SPORTS,8.223755243499511,0,Easy,16,142,35,41,High,2272,4.445044227392629,0.0,3.7945499502132205,5.37495020973998,Young_Adult,Casual,0,8.352941176470589
9003,35,Male,USA,ACTION,5.265351277318268,1,Easy,9,85,57,47,Medium,765,7.501574599679463,0.03101261621094246,9.097654301738924,3.1926140510927303,Adult,Casual,1,8.5
9004,33,Male,EUROPE,ACTION,15.53194452113429,0,Medium,2,131,95,37,Medium,262,2.238091227120895,0.0,5.746450448013108,1.4432777808453716,Adult,Regular,0,43.666666666666664
9005,37,Male,EUROPE,RPG,20.56185541411256,0,Easy,2,81,74,22,Low,162,1.0203203563641683,0.0,3.43198665322493,1.5544742165645027,Middle_Age,Regular,0,27.0
9006,25,Male,USA,ACTION,9.752716365932256,0,Hard,1,50,13,2,Low,50,0.18599951230338257,0.0,1.2089968299719869,0.7021086546372903,Young_Adult,Casual,0,25.0
9007,25,Female,ASIA,RPG,4.401729344841462,0,Medium,10,48,27,23,Medium,480,4.257895672237728,0.0,4.998399267409507,3.3140691737936585,Young_Adult,Casual,0,4.363636363636363
9008,38,Female,EUROPE,SIMULATION,18.15273259575482,0,Easy,5,101,23,41,Medium,505,2.1406867033212587,0.0,1.2008730286924134,2.4721093038301927,Middle_Age,Regular,0,16.833333333333332
9009,38,Female,OTHER,SPORTS,23.942771725289525,0,Easy,13,95,99,36,High,1235,1.4433039117100017,0.0,3.969085757202505,5.073710869011581,Middle_Age,Regular,0,6.785714285714286
9010,17,Male,USA,STRATEGY,4.829915833543258,0,Hard,8,95,14,12,High,760,2.0583487553896194,0.0,2.401406881287889,2.66519663334173,Teen,Casual,0,10.555555555555555
9011,36,Female,ASIA,SIMULATION,5.53598092541321,1,Easy,16,124,62,31,High,1984,4.742975898149543,0.023877124547885063,9.485951796299085,5.207439237016528,Middle_Age,Casual,1,7.294117647058823
9012,16,Male,USA,SPORTS,18.776233805679176,1,Easy,9,18,52,32,High,162,1.618103846992874,0.002361468797977699,2.62941875136342,3.643049352227167,Teen,Regular,1,1.8
9013,38,Female,USA,STRATEGY,8.701959180591404,0,Easy,0,156,33,47,Low,0,4.844382369080944,0.0,3.4013748548866203,0.6300783672236561,Middle_Age,Casual,0,156.0
9014,44,Male,USA,SIMULATION,17.975200475946355,0,Easy,8,41,98,1,Low,328,0.05270036547269347,0.0,5.16463581632396,3.1250080190378537,Middle_Age,Regular,0,4.555555555555555
9015,16,Male,EUROPE,RPG,7.951511339057053,0,Medium,10,156,58,24,High,1560,2.6811115007232003,0.0,6.479352793414401,3.462060453562282,Teen,Casual,0,14.181818181818182
9016,35,Male,ASIA,STRATEGY,17.88789845694821,0,Easy,16,154,62,4,High,2464,0.21177581026906342,0.0,3.282525059170483,5.539515938277928,Adult,Regular,0,9.058823529411764
9017,47,Male,USA,RPG,17.272112901806345,0,Medium,2,131,13,9,Low,262,0.49255387422164393,0.0,0.7114667072090413,1.344884516072254,Middle_Age,Regular,0,43.666666666666664
9018,26,Female,ASIA,ACTION,19.416078735805648,0,Easy,3,135,77,25,Medium,405,1.2245250580933098,0.0,3.7715371789273946,1.826643149432226,Adult,Regular,0,33.75
9019,36,Female,ASIA,RPG,19.3388255215677,0,Easy,4,56,21,30,Low,224,1.4750114242431254,0.0,1.0325079969701878,2.153553020862708,Middle_Age,Regular,0,11.2
9020,39,Female,USA,SPORTS,1.7225809816138815,0,Easy,2,177,34,37,Medium,354,13.59004571392667,0.0,12.488150115500185,0.8909032392645552,Middle_Age,Casual,0,59.0
9021,41,Female,USA,SPORTS,16.16768979311812,0,Easy,18,159,36,33,High,2862,1.922215533812153,0.0,2.0969624005223486,6.244707591724724,Middle_Age,Regular,0,8.368421052631579
9022,42,Male,USA,SPORTS,10.44812618560384,0,Medium,2,120,81,5,Low,240,0.43675269812168577,0.0,7.075393709571309,1.0479250474241537,Middle_Age,Regular,0,40.0
9023,30,Male,EUROPE,STRATEGY,17.959834855223,0,Easy,14,117,40,19,High,1638,1.0021184332608222,0.0,2.1097230173912047,5.03239339420892,Adult,Regular,0,7.8
9024,29,Male,EUROPE,SPORTS,22.56472310015379,0,Medium,12,161,1,22,High,1932,0.9335989184552066,0.0,0.042436314475236665,4.634588924006151,Adult,Regular,0,12.384615384615385
9025,17,Female,USA,SPORTS,10.311459919262395,0,Hard,4,82,1,7,Medium,328,0.6188414271865679,0.0,0.08840591816950968,1.6544583967704958,Teen,Regular,0,16.4
9026,21,Male,USA,STRATEGY,4.898342485762538,0,Medium,12,118,71,26,High,1416,4.408018025870656,0.0,12.037279993723713,3.9519336994305014,Young_Adult,Casual,0,9.076923076923077
9027,35,Male,USA,SPORTS,14.5944246415276,0,Easy,18,177,59,18,High,3186,1.1542586798660341,0.0,3.7834034506720005,6.091776985661103,Adult,Regular,0,9.31578947368421
9028,23,Male,EUROPE,SIMULATION,3.218365077668621,0,Easy,14,57,2,1,Medium,798,0.2370586664710096,0.0,0.4741173329420192,4.334734603106745,Young_Adult,Casual,0,3.8
9029,32,Female,USA,SPORTS,4.128575768252703,0,Easy,1,155,85,37,Low,155,7.214478574936963,0.0,16.57380213161194,0.6871430307301081,Adult,Casual,0,77.5
9030,18,Female,ASIA,SIMULATION,22.85867253938618,0,Easy,3,67,35,2,Low,201,0.08382696047730133,0.0,1.4669718083527734,1.8263469015754472,Teen,Regular,0,16.75
9031,39,Male,USA,SPORTS,3.374945771843211,1,Easy,5,70,50,11,Medium,350,2.514316879261702,0.06982189792728383,11.42871308755319,1.7009978308737286,Middle_Age,Casual,1,11.666666666666666
9032,28,Female,EUROPE,ACTION,14.527638765802958,0,Hard,0,127,48,48,Low,0,3.09126202148082,0.0,3.09126202148082,0.8691055506321184,Adult,Regular,0,127.0
9033,23,Male,USA,SIMULATION,18.964324125931693,0,Hard,19,48,62,42,Medium,912,2.1037526607497887,0.0,3.105539642059212,6.710572965037268,Young_Adult,Regular,0,2.4
9034,40,Male,USA,STRATEGY,11.72896470228836,0,Hard,0,120,24,18,Low,0,1.4140977228701117,0.0,1.8854636304934822,0.5771585880915344,Middle_Age,Regular,0,120.0
9035,16,Female,USA,RPG,17.491258097283612,0,Medium,18,166,24,17,High,2988,0.9193533458114092,0.0,1.2979106058514012,6.201650323891345,Teen,Regular,0,8.736842105263158
9036,34,Male,EUROPE,ACTION,13.776451193864396,0,Hard,19,28,79,41,Medium,532,2.774685170484261,0.0,5.346344596786747,6.497058047754575,Adult,Regular,0,1.4
9037,42,Male,USA,STRATEGY,23.958349383365025,0,Medium,17,61,26,26,Medium,1037,1.0417355571330067,0.0,1.0417355571330067,6.2143339753346005,Middle_Age,Regular,0,3.388888888888889
9038,21,Female,EUROPE,ACTION,1.9080071501124567,0,Medium,11,112,14,0,Medium,1232,0.0,0.0,4.8142935272558045,3.376320286004498,Young_Adult,Casual,0,9.333333333333334
9039,22,Female,EUROPE,SPORTS,5.560105967959029,0,Hard,3,116,52,44,Medium,348,6.707208727253109,0.0,7.926701223117311,1.386404238718361,Young_Adult,Casual,0,29.0
9040,49,Female,EUROPE,STRATEGY,13.714087008439236,1,Medium,15,43,93,29,Medium,645,1.970900402000281,0.0039542666282715,6.320473702966418,5.22256348033757,Middle_Age,Regular,1,2.6875
9041,28,Male,OTHER,RPG,12.283925798967,0,Medium,4,151,76,35,Medium,604,2.634763286823065,0.0,5.721200279958655,1.9013570319586799,Adult,Regular,0,30.2
9042,31,Male,USA,ACTION,2.244646562637268,0,Medium,15,68,88,39,Medium,1020,12.019799151344413,0.0,27.12159808508483,4.823785862505491,Adult,Casual,0,4.25
9043,18,Male,OTHER,RPG,13.153809578502678,0,Medium,12,115,98,7,Medium,1380,0.49456649541419967,0.0,6.923930935798795,4.168152383140106,Teen,Regular,0,8.846153846153847
9044,16,Female,EUROPE,ACTION,2.61963355317819,0,Easy,14,149,10,34,High,2086,9.393216053637964,0.0,2.762710604011166,4.508785342127127,Teen,Casual,0,9.933333333333334
9045,20,Male,ASIA,RPG,16.58532904749496,0,Medium,19,65,34,46,Medium,1235,2.615816847996525,0.0,1.9334298441713447,6.639413161899799,Young_Adult,Regular,0,3.25
9046,18,Male,USA,RPG,15.65317440909562,0,Easy,17,176,45,43,High,2992,2.5820902936388084,0.0,2.702187516598753,5.984126976363824,Teen,Regular,0,9.777777777777779
9047,43,Male,USA,STRATEGY,1.5959787198659905,0,Medium,3,31,73,49,Low,93,18.875347330477915,0.0,28.120415410711995,1.2578391487946394,Middle_Age,Casual,0,7.75
9048,32,Female,USA,SPORTS,11.198056677031936,0,Easy,19,77,51,38,High,1463,3.1152503227461854,0.0,4.1809938542119855,6.375922267081277,Adult,Regular,0,3.85
9049,40,Male,EUROPE,SPORTS,17.06770113669252,0,Hard,8,94,31,13,Medium,752,0.7195159971734946,0.0,1.7157689163367948,3.160708045467701,Middle_Age,Regular,0,10.444444444444445
9050,48,Male,OTHER,RPG,19.216494885917577,0,Hard,3,146,22,32,Medium,438,1.5828658815772554,0.0,1.088220293584363,1.860659795436703,Middle_Age,Regular,0,36.5
9051,24,Male,USA,SPORTS,0.8741881074057289,0,Medium,8,45,19,21,High,360,11.20485180597396,0.0,10.137723062547868,2.560967524296229,Young_Adult,Casual,0,5.0
9052,28,Male,EUROPE,SIMULATION,11.216713856822746,0,Easy,8,134,64,25,Medium,1072,2.0463768156473674,0.0,5.238724648057261,2.9986685542729097,Adult,Regular,0,14.88888888888889
