group,cosine_similarity
male,0.9999890327453613
male,0.9997236728668213
male,0.9994834661483765
male,0.9982941746711731
male,0.9996699094772339
male,0.999692976474762
male,0.9989057779312134
male,0.9991550445556641
male,0.9983161091804504
male,0.9998937845230103
male,0.9990784525871277
male,0.9991220235824585
male,0.9998267889022827
male,0.9999885559082031
male,0.9986480474472046
male,0.9999858736991882
male,0.9995447397232056
male,0.9999949932098389
male,0.9999524354934692
male,0.9999685883522034
male,0.9998239278793335
male,0.9999797344207764
male,0.9995511770248413
male,0.9997652769088745
male,0.9999310374259949
male,0.9992002844810486
male,0.9999986886978149
male,0.9999732971191406
male,0.9998396635055542
male,0.9999339580535889
male,0.999980628490448
male,0.9997934699058533
male,0.9979184865951538
male,0.9991560578346252
male,0.9997634887695312
male,0.9999408721923828
male,0.9999905228614807
male,0.9997349381446838
male,0.9999824166297913
male,0.9999745488166809
male,0.9996253848075867
male,0.9999974370002747
male,0.9986406564712524
male,0.9999892711639404
male,0.999800443649292
male,0.9879896640777588
male,0.9994305372238159
male,0.9999313354492188
male,0.9999567270278931
male,0.9999681115150452
male,0.9805019497871399
male,0.9999807476997375
male,0.9999628067016602
male,0.9997933506965637
male,0.9998683333396912
male,0.9999232292175293
male,0.9990993142127991
male,0.9997368454933167
male,0.999945878982544
male,0.9999098181724548
male,0.9958144426345825
male,0.9999639987945557
male,0.9998646974563599
male,0.999757707118988
male,0.9999784231185913
male,0.9998766779899597
male,0.9992432594299316
male,0.9999974966049194
male,0.9999780058860779
male,0.999904215335846
male,0.9962447881698608
male,0.9999694228172302
male,0.9999327063560486
male,0.9996217489242554
male,0.9999921321868896
male,0.9987467527389526
male,0.9999852180480957
male,0.9997676610946655
male,0.9999645948410034
male,0.9999402761459351
male,0.9999840259552002
male,0.9999839067459106
male,0.9998576641082764
male,0.998257577419281
male,0.9999812841415405
male,0.9994552135467529
male,0.9999825358390808
male,0.9992340207099915
male,0.9999740123748779
male,0.9995209574699402
male,0.9999306201934814
male,0.9998719692230225
male,0.9999679923057556
male,0.9999628663063049
male,0.9987910389900208
male,0.9998872876167297
male,0.9999234676361084
male,0.9999041557312012
male,0.99998939037323
male,0.9999915957450867
male,0.9991110563278198
male,0.9975252151489258
male,0.9999722242355347
male,0.9996660351753235
