row_index,PlayerID,true_label,predicted_label,prob_High,prob_Low,prob_Medium
33212,42212,High,Medium,0.045187083690567474,0.03518639592232734,0.9196265203871051
32450,41450,High,Low,0.03384727413302528,0.9283286092498484,0.037824116617126397
25718,34718,High,High,0.9331661661329277,0.025618832776373158,0.041215001090699144
25647,34647,Medium,Medium,0.03529145979898988,0.032637532535329444,0.9320710076656806
6697,15697,Medium,Medium,0.02770904106797128,0.1264516095303517,0.845839349401677
9578,18578,Low,Low,0.030231474600273273,0.9291119254095946,0.040656599990132096
22418,31418,Low,Low,0.030422483416201893,0.8853951910215093,0.08418232556228873
13852,22852,High,High,0.936732592276737,0.025313637379025422,0.03795377034423764
35559,44559,Medium,Medium,0.030586665928097417,0.03437229695974175,0.9350410371121608
37904,46904,Low,Low,0.028685833295072505,0.9305828099458712,0.04073135675905631
336,9336,Medium,Medium,0.029542074272654567,0.028287151184927858,0.9421707745424176
22261,31261,Medium,Medium,0.030430226417062115,0.0372152220620223,0.9323545515209156
13433,22433,High,Low,0.026835622600595636,0.9364687819259805,0.03669559547342383
6518,15518,Low,Low,0.039013670746432944,0.9169024082708997,0.044083920982667286
33043,42043,Medium,Medium,0.030185874255787334,0.03730183592233893,0.9325122898218737
10916,19916,Medium,Medium,0.035008311054875944,0.03778676688533527,0.9272049220597888
38118,47118,Medium,Medium,0.0416585615716292,0.049913887273121293,0.9084275511552495
14589,23589,Medium,Medium,0.054873245022559684,0.03572434288278746,0.9094024120946528
14029,23029,High,High,0.9314415633646537,0.02856878760059516,0.03998964903475103
11815,20815,High,Medium,0.03170232392535455,0.03416349071443551,0.93413418536021
24102,33102,Medium,Low,0.02687422074147847,0.9030296525307125,0.07009612672780913
37284,46284,Medium,Medium,0.039005861040831744,0.0321377054681011,0.9288564334910672
37439,46439,Low,Low,0.0266693142991978,0.9363011432426154,0.037029542458186876
4840,13840,Medium,Medium,0.034366943429501425,0.040192998373075946,0.9254400581974226
30694,39694,High,High,0.9321579042825534,0.029313409513307954,0.03852868620413859
27993,36993,Medium,Medium,0.03231162125802269,0.03140251015211795,0.9362858685898594
22606,31606,Medium,Medium,0.030509496718909346,0.028053866248728812,0.9414366370323619
22737,31737,Medium,Medium,0.031168856363097838,0.034609994044731356,0.9342211495921707
36934,45934,High,High,0.9228390198431026,0.02716907863778198,0.049991901519115395
33527,42527,Medium,Medium,0.03188932434810594,0.03077038396112618,0.9373402916907678
21911,30911,Medium,High,0.9250316988201387,0.03067644250896286,0.044291858670898486
3413,12413,Low,Low,0.026244392923911408,0.9376602847265342,0.03609532234955428
31047,40047,Medium,Medium,0.03030145560852908,0.03489455735524044,0.9348039870362305
8262,17262,Medium,Medium,0.03138207725870068,0.027973957969400314,0.9406439647718989
22731,31731,Low,Low,0.043778689943469985,0.7312544623008131,0.22496684775571688
31333,40333,High,High,0.9382500668335148,0.025772260337188362,0.03597767282929673
5141,14141,Medium,Medium,0.0283845256503349,0.02821559849020293,0.9433998758594622
17425,26425,Medium,Medium,0.03510744142716755,0.04407490914192374,0.9208176494309086
32600,41600,Medium,Medium,0.03338112442952274,0.034933631479320854,0.9316852440911564
28493,37493,High,High,0.9342630071055434,0.0273014279756764,0.03843556491878014
5848,14848,Low,Low,0.028807631513738524,0.9299917476978102,0.041200620788451166
36108,45108,Low,Low,0.0338773626377981,0.7754805691505808,0.19064206821162108
35044,44044,Low,Low,0.03043187348415724,0.9307163785806694,0.038851747935173354
38564,47564,High,High,0.9378155102704321,0.025572879572625468,0.03661161015694247
32873,41873,High,Medium,0.029161166638542655,0.02867089035495879,0.9421679430064985
23508,32508,Low,Low,0.03126777170567685,0.9308957254814486,0.037836502812874595
11440,20440,Low,Low,0.03464322369028331,0.9271237921559538,0.03823298415376291
33801,42801,Medium,Medium,0.03372894878973961,0.03107413127259076,0.9351969199376696
194,9194,Medium,Medium,0.03879982085921086,0.033544515320696223,0.9276556638200928
33709,42709,High,High,0.9355976073016175,0.026064066291239956,0.03833832640714271
24753,33753,Medium,Medium,0.03557082869691836,0.035843807821016836,0.9285853634820648
3652,12652,High,High,0.9314303844394421,0.03130159433056754,0.037268021229990365
24245,33245,Medium,High,0.9211331524972856,0.027029387493352364,0.0518374600093621
4900,13900,Medium,Medium,0.061871674269522114,0.030435189211716732,0.9076931365187612
39248,48248,Low,Medium,0.03658136713324436,0.02821936970255953,0.9351992631641961
37207,46207,Medium,Medium,0.0396535472882719,0.02886980505901729,0.9314766476527107
4,9004,Medium,Medium,0.04179786204957533,0.06573321103554289,0.8924689269148818
29799,38799,Medium,Medium,0.0336988844185469,0.03136591368335908,0.9349352018980941
13620,22620,High,High,0.9311652093756564,0.027571259394207088,0.04126353123013664
877,9877,Low,Low,0.02671197753034443,0.8789663259486336,0.09432169652102208
22784,31784,Medium,Medium,0.03545634503290649,0.0332501557162268,0.9312934992508667
31713,40713,High,High,0.9326085038143214,0.028884126482672075,0.038507369703006715
5018,14018,Low,Low,0.027927737482356205,0.9036183739072198,0.06845388861042402
39432,48432,High,High,0.9047180321179615,0.031789630552880165,0.06349233732915834
37268,46268,Medium,Medium,0.03221740014047842,0.028330705607818082,0.9394518942517035
24481,33481,Low,Medium,0.037297695656265596,0.029898020898052713,0.9328042834456816
26361,35361,Low,Low,0.027042683530574707,0.8916849611099522,0.08127235535947298
16948,25948,Low,Low,0.032686857952768454,0.9274623944227053,0.0398507476245264
23116,32116,Low,Low,0.0286472140018936,0.9339848178119164,0.037367968186189954
9856,18856,High,Medium,0.4018895811901411,0.036716368965241115,0.5613940498446178
