row_index,PlayerID,true_label,predicted_label,prob_High,prob_Low,prob_Medium
33212,42212,High,Medium,0.037474213560810966,0.03431374237028665,0.9282120440689022
32450,41450,High,Low,0.03500314475194926,0.9311774304407175,0.03381942480733324
25718,34718,High,High,0.9299157894675957,0.03132725425713339,0.03875695627527092
25647,34647,Medium,Medium,0.03473583453051366,0.03390084151898952,0.9313633239504968
6697,15697,Medium,Medium,0.02993476986204464,0.044918576275134355,0.9251466538628209
9578,18578,Low,Low,0.03304651494765972,0.9310499500084087,0.03590353504393151
22418,31418,Low,Low,0.029481005024586827,0.9389316602676345,0.03158733470777855
13852,22852,High,High,0.9392854580330466,0.0286689002285692,0.03204564173838408
35559,44559,Medium,Medium,0.03119984051874976,0.03552910344873721,0.9332710560325129
37904,46904,Low,Low,0.0357520150477234,0.927794844395437,0.03645314055683955
336,9336,Medium,Medium,0.030457492086463336,0.03214306772484116,0.9373994401886955
22261,31261,Medium,Medium,0.031790488332765356,0.03342886684165541,0.9347806448255792
13433,22433,High,Low,0.029069554820507857,0.9389536467053322,0.03197679847415981
6518,15518,Low,Low,0.03827262819943853,0.9200563621827276,0.04167100961783394
33043,42043,Medium,Medium,0.031286604118571426,0.03339092696768708,0.9353224689137415
10916,19916,Medium,Medium,0.03425554816118203,0.03522512431704308,0.9305193275217749
38118,47118,Medium,Medium,0.03701423640676115,0.0395138490488642,0.9234719145443747
14589,23589,Medium,Medium,0.03331081099560561,0.02976554837426044,0.936923640630134
14029,23029,High,High,0.9267229475527546,0.03332227202476191,0.03995478042248334
11815,20815,High,Medium,0.03423758849637556,0.03546903116208786,0.9302933803415366
24102,33102,Medium,Low,0.03119404643304209,0.9286373819563135,0.040168571610644445
37284,46284,Medium,Medium,0.033588566232048374,0.040676896312697185,0.9257345374552545
37439,46439,Low,Low,0.030166664872084623,0.9371753548787972,0.03265798024911826
4840,13840,Medium,Medium,0.0339212860223068,0.033253947287471664,0.9328247666902216
30694,39694,High,High,0.9235644317470478,0.03713675834704651,0.03929880990590557
27993,36993,Medium,Medium,0.03349237778463119,0.03303800704269446,0.9334696151726742
22606,31606,Medium,Medium,0.032079090793765634,0.031329368117483464,0.936591541088751
22737,31737,Medium,Medium,0.03199393612106153,0.03391549636649291,0.9340905675124455
36934,45934,High,High,0.926224313086038,0.03244718354387767,0.04132850337008429
33527,42527,Medium,Medium,0.034843396165101376,0.032796933588914313,0.9323596702459844
21911,30911,Medium,High,0.9182737887146099,0.03613467820524033,0.04559153308014968
3413,12413,Low,Low,0.029746875602012012,0.9395936008141296,0.030659523583858306
31047,40047,Medium,Medium,0.032757635717799834,0.03539366626717758,0.9318486980150226
8262,17262,Medium,Medium,0.03190321764977608,0.030663477988468805,0.9374333043617552
22731,31731,Low,Low,0.048921338169787464,0.6427622744477458,0.30831638738246664
31333,40333,High,High,0.9392864839615939,0.028483059342085847,0.032230456696320305
5141,14141,Medium,Medium,0.030414452801588495,0.02956298083114065,0.9400225663672708
17425,26425,Medium,Medium,0.03981758340832043,0.03609071410696985,0.9240917024847096
32600,41600,Medium,Medium,0.033564400708597404,0.03259173648011244,0.9338438628112901
28493,37493,High,High,0.9323606996233028,0.03037537552138445,0.03726392485531286
5848,14848,Low,Low,0.032237533476909046,0.9326170558111375,0.03514541071195337
36108,45108,Low,Low,0.03673043305689747,0.8349759647364587,0.12829360220664385
35044,44044,Low,Low,0.03176910692342622,0.9346775970348616,0.03355329604171217
38564,47564,High,High,0.9354644349510322,0.03043718637006379,0.03409837867890402
32873,41873,High,Medium,0.03230016269207058,0.030398537027450597,0.9373013002804789
23508,32508,Low,Low,0.032684005569847976,0.9325492507557335,0.03476674367441858
11440,20440,Low,Low,0.03929718398794357,0.9267715935984487,0.03393122241360768
33801,42801,Medium,Medium,0.037650459447402744,0.03414146649406445,0.9282080740585328
194,9194,Medium,Medium,0.03651595524531882,0.033557910956241825,0.9299261337984394
33709,42709,High,High,0.9362580374403913,0.029232376795265497,0.03450958576434315
24753,33753,Medium,Medium,0.032916893862607405,0.03245663547514672,0.9346264706622459
3652,12652,High,High,0.9319013590178381,0.0348938560686154,0.0332047849135465
24245,33245,Medium,High,0.9063081384511739,0.033635426191784674,0.060056435357041436
4900,13900,Medium,Medium,0.030685366926949318,0.030228661882966783,0.939085971190084
39248,48248,Low,Medium,0.03125043798662929,0.030723454492159196,0.9380261075212116
37207,46207,Medium,Medium,0.0338007438874065,0.031177194706787776,0.9350220614058058
4,9004,Medium,Medium,0.03158457525736993,0.03150115563553547,0.9369142691070946
29799,38799,Medium,Medium,0.03386881859496976,0.03373381254116945,0.9323973688638607
13620,22620,High,High,0.9305152988191963,0.030777433932706377,0.038707267248097386
877,9877,Low,Low,0.03351670091527442,0.8662413340570904,0.1002419650276352
